id;cod;tree_parent_id;metacategory;display;name_es;name_gl;name_en
1;Lugares;0;0;1;Lugares;Lugares;
2;T5-4;1;0;1;"E.T.S. de Ingeniería de Minas";"E.T.S. de Enxeñería de Minas";
3;T2-6;1;0;1;"Vicerrectorado de Extensión Cultural y Estudiantes";"Vicerreitoría de Extensión Cultural e Estudantes";
4;T2-2;1;0;1;"Vicerrectorado de Formación e Innovación Educativa";"Vicerreitoría de Formación e Innovación Educativa";
5;T3-1;1;0;1;"Fac. de Filoloxía e Traducción";"Fac. de Filoloxía e Tradución";
6;T3-2;1;0;1;"Facultad de Ciencias de la Educación y del Deporte (Po)";"Facultade de Ciencias da Educación e do Deporte (Po)";
7;T3-3;1;0;1;"Fac. de Ciencias de la Educación (Ou)";"Fac. de Ciencias da Educación (Ou)";
8;T4-4;1;0;1;"Fac. de Ciencias (Ourense)";"Fac. de Ciencias (Ourense)";
9;T4-1;1;0;1;"Fac. de Biología";"Fac. de Bioloxía";
10;T4-2;1;0;1;"Fac. de Química";"Fac. de Química";
11;T4-3;1;0;1;"Fac. de Ciencias del Mar";"Fac. de Ciencias do Mar";
12;T5-6;1;0;1;"E.U. de Ingeniería Técnica Forestal";"E.U. de Enxeñería Técnica Forestal";
13;T5-1;1;0;1;"E.T.S. de Ingenieros de Telecomunicación";"E.T.S. de Enxeñeiros de Telecomunicación";
14;T5-2;1;0;1;"E.T.S. de Ingenieros Industriales";"E.T.S. de Enxeñeiros Industriais";
15;T5-3;1;0;1;"E.S. de Ingeniería Informática";"E.S. de Enxeñería Informática";
16;T6-1;1;0;1;"Fac. de CC. Económicas y Empresariales";"Fac. de CC. Económicas e Empresariais";
17;T6-2;1;0;1;"Fac. de Ciencias Empresariales y Turismo";"Fac. de Ciencias Empresariais e Turismo";
18;T6-3;1;0;1;"Fac. de CC. Sociales y de la Comunicación";"Fac. de CC. Sociais e da Comunicación";
19;T6-4;1;0;1;"Fac. de CC. Jurídicas y del Trabajo";"Fac. de CC. Xurídicas e do Traballo";
20;T5-5;1;0;1;"E.U. de Ingeniería Técnica Industrial";"E.U. de Enxeñería Técnica Industrial";
21;T3-4;1;0;1;"Fac. de Historia";"Fac. de Historia";
22;T3-5;1;0;1;"E.U. de Fisioterapia";"E.U. de Fisioterapia";
23;T3-6;1;0;1;"E.U. Magisterio";"E.U. Maxisterio";
24;T3-7;1;0;1;"Fac. de Bellas Artes";"Fac. de Belas Artes";
25;T6-5;1;0;1;"Fac. de Derecho";"Fac. de Dereito";
26;T6-6;1;0;1;"E.U. de Estudios Empresariales";"E.U. de Estudos Empresariais";
27;T2-3;1;0;1;"Vicerrectorado de Titulaciones y Convergencia Europea";"Vicerreitoría de Titulacións e Converxencia Europea";
28;T2-4;1;0;1;"Vicerrectorado de Relaciones Institucionales";"Vicerreitoría de Relacións Institucionais";
29;T4-5;1;0;1;"Complejo Hospitalario Universidade de Vigo";"Complexo Hospitalario Universidade de Vigo";
30;T2-5;1;0;1;"Vicerrectorado de Nuevas Tecnologías y Calidad";"Vicerreitoría de Novas Tecnoloxías e Calidade";
31;Directriz;0;0;1;"Area Directriz";"Area Directriz";"Directriz domain"
32;Dsalud;31;0;1;"Ciencias de la Salud";"Ciencias da Saude";"Health Sciences"
33;Dciencia;31;0;1;"Ciencias Experimentales";"Ciencias Experimentais";"Experimental sciences"
34;Djuridicosocial;31;0;1;"Ciencias Juridico-Sociales";"Ciencias Xuridico-Sociais";"Social and Legal sciences"
35;Dtecnologia;31;0;1;"Ciencias tecnologicas";"Ciencias tecnoloxicas";"Technical sciences"
36;Dhumanistica;31;0;1;Humanidades;Humanidades;Humanities
