
START


i 	 file 	 Durat. 	 Size 
1 	 58 	 3811 	 571994979 
2 	 3 	 5080 	 672395991 
3 	 6 	 1869 	 280848589 
4 	 7 	 650 	 97100563 
5 	 8 	 1092 	 161302511 
6 	 9 	 1038 	 155614419 
7 	 10 	 1208 	 181481529 
8 	 11 	 1337 	 200332517 
9 	 12 	 1449 	 217248005 
10 	 14 	 1086 	 161362979 
11 	 15 	 1088 	 163208471 
12 	 16 	 1291 	 193824473 
13 	 17 	 975 	 145273459 
14 	 18 	 1096 	 163991359 
15 	 20 	 1462 	 216786315 
16 	 21 	 1318 	 197975339 
17 	 22 	 848 	 127505591 
18 	 23 	 3217 	 483372485 
19 	 24 	 1457 	 218472757 
20 	 25 	 1098 	 164950205 
21 	 26 	 1240 	 185046281 
22 	 27 	 1006 	 151339219 
23 	 28 	 1017 	 151596581 
24 	 29 	 994 	 149363467 
25 	 30 	 3931 	 589496137 
26 	 31 	 447 	 66992849 
27 	 32 	 675 	 100699761 
28 	 33 	 800 	 119331111 
29 	 34 	 353 	 53153621 
30 	 35 	 278 	 42093219 
31 	 36 	 285 	 43086901 
32 	 37 	 186 	 28193403 
33 	 38 	 198 	 29891907 
34 	 39 	 301 	 45319805 
35 	 40 	 272 	 41024479 
36 	 41 	 133 	 20021661 
37 	 42 	 315 	 47312945 
38 	 43 	 164 	 24686711 
39 	 44 	 2206 	 331522883 
40 	 45 	 394 	 59078139 
41 	 46 	 400 	 59202503 
42 	 48 	 2005 	 296127301 
43 	 49 	 1123 	 168844009 
44 	 50 	 1212 	 182301871 
45 	 51 	 1151 	 172677225 
46 	 52 	 1329 	 198946037 
47 	 53 	 1093 	 164248301 
48 	 54 	 1240 	 185987799 
49 	 55 	 987 	 147823953 
50 	 56 	 1154 	 171036931 
51 	 57 	 916 	 136549959 
52 	 80 	 5031 	 752114873 
53 	 81 	 3343 	 478143179 
54 	 107 	 1432 	 214090916 
55 	 108 	 3185 	 478393447 
56 	 109 	 2052 	 308175393 
57 	 112 	 1582 	 237257176 
58 	 115 	 4718 	 708747944 
59 	 117 	 2371 	 354624003 
60 	 118 	 3504 	 525655639 
61 	 181 	 6077 	 827095629 
62 	 286 	 3544 	 528426431 
63 	 312 	 5001 	 750297396 
64 	 332 	 3274 	 491545181 
65 	 371 	 4249 	 638050039 
66 	 372 	 3245 	 487324109 
67 	 381 	 3740 	 442925241 
68 	 417 	 210 	 31082128 
69 	 449 	 3416 	 473897985 
70 	 452 	 4551 	 665090814 
71 	 454 	 3209 	 373636909 
72 	 457 	 4542 	 682254727 
73 	 485 	 1835 	 154215379 
74 	 568 	 1742 	 260748021 
75 	 573 	 112 	 17416055 
76 	 602 	 3964 	 515235929 
77 	 607 	 3226 	 291338917 
78 	 608 	 2686 	 269593375 
79 	 611 	 3247 	 483250035 
80 	 623 	 3418 	 512842725 
81 	 625 	 3572 	 422915025 
82 	 626 	 3150 	 369191341 
83 	 635 	 3483 	 515674081 
84 	 704 	 5762 	 865378141 
85 	 705 	 2722 	 306340563 
86 	 706 	 2049 	 225981761 
87 	 715 	 1887 	 236397033 
88 	 716 	 622 	 91560509 
89 	 718 	 2320 	 273276177 
90 	 719 	 819 	 121494793 
91 	 736 	 178 	 26827109 
92 	 738 	 1731 	 260050621 
93 	 740 	 1337 	 158499837 
94 	 755 	 1462 	 219734735 
95 	 778 	 1465 	 183052511 
96 	 783 	 5580 	 665266913 
97 	 785 	 1958 	 257311171 
98 	 786 	 1596 	 212811505 
99 	 868 	 1046 	 157145071 
100 	 869 	 1186 	 178189413 
101 	 872 	 193 	 28938717 
102 	 876 	 3527 	 316325499 
103 	 878 	 3548 	 318226349 
104 	 881 	 3205 	 467067311 
105 	 882 	 724 	 64785477 
106 	 883 	 2943 	 426656331 
107 	 885 	 843 	 126661917 
108 	 939 	 2981 	 447672259 
109 	 1279 	 3731 	 499844563 
110 	 1283 	 2529 	 379965167 
111 	 1 	 5012 	 751842831 
112 	 2 	 4211 	 632148745 
113 	 13 	 1377 	 206222349 
114 	 63 	 1789 	 178613877 
115 	 64 	 3356 	 500901843 
116 	 65 	 4997 	 726304631 
117 	 66 	 416 	 61935031 
118 	 67 	 775 	 115832963 
119 	 68 	 1682 	 200585459 
120 	 69 	 331 	 49164633 
121 	 70 	 481 	 71735965 
122 	 71 	 3476 	 518707105 
123 	 72 	 209 	 30729757 
124 	 73 	 1104 	 162611135 
125 	 74 	 759 	 113550993 
126 	 76 	 1435 	 202554245 
127 	 77 	 1229 	 176439741 
128 	 78 	 77 	 11107613 
129 	 82 	 938 	 140288525 
130 	 83 	 3495 	 525130587 
131 	 84 	 3065 	 460419877 
132 	 85 	 4556 	 684398073 
133 	 86 	 4115 	 618171667 
134 	 99 	 5992 	 899949489 
135 	 102 	 1109 	 166620439 
136 	 105 	 1962 	 294745547 
137 	 106 	 1385 	 207695243 
138 	 110 	 1895 	 284439153 
139 	 111 	 3132 	 469322703 
140 	 113 	 1835 	 275444121 
141 	 119 	 872 	 131128697 
142 	 120 	 314 	 47215527 
143 	 121 	 3422 	 513374207 
144 	 122 	 1927 	 289500693 
145 	 123 	 1250 	 187106589 
146 	 124 	 1183 	 176159059 
147 	 125 	 1996 	 299940025 
148 	 126 	 1394 	 205209975 
149 	 127 	 1068 	 160098329 
150 	 128 	 1586 	 237746197 
151 	 140 	 932 	 133290691 
152 	 143 	 1317 	 168070903 
153 	 145 	 1180 	 177279289 
154 	 146 	 1223 	 139632835 
155 	 147 	 1222 	 168642765 
156 	 150 	 1671 	 224920251 
157 	 168 	 960 	 127374049 
158 	 171 	 803 	 104912251 
159 	 176 	 659 	 82016809 
160 	 179 	 4959 	 744330387 
161 	 180 	 4601 	 690489381 
162 	 192 	 918 	 121050927 
163 	 196 	 863 	 129643771 
164 	 208 	 897 	 134283143 
165 	 209 	 900 	 129884809 
166 	 210 	 838 	 125929053 
167 	 211 	 852 	 128037713 
168 	 212 	 1652 	 232896337 
169 	 215 	 1420 	 213325841 
170 	 216 	 4115 	 618038819 
171 	 217 	 3306 	 496764763 
172 	 218 	 6473 	 964050663 
173 	 219 	 2484 	 373454265 
174 	 220 	 261 	 39159081 
175 	 221 	 632 	 94949043 
176 	 222 	 263 	 39479963 
177 	 223 	 498 	 74994973 
178 	 224 	 1137 	 167695005 
179 	 225 	 401 	 60349069 
180 	 226 	 297 	 42342991 
181 	 227 	 803 	 119947179 
182 	 248 	 4648 	 695449457 
183 	 249 	 4008 	 602038113 
184 	 250 	 3404 	 504438225 
185 	 251 	 2237 	 335844266 
186 	 252 	 3258 	 489370007 
187 	 253 	 3400 	 510722393 
188 	 271 	 4572 	 648179281 
189 	 272 	 3258 	 345757627 
190 	 273 	 3534 	 482510653 
191 	 274 	 3096 	 389050467 
192 	 275 	 2984 	 401404889 
193 	 276 	 4356 	 597079169 
194 	 277 	 3203 	 470717683 
195 	 278 	 3816 	 307462159 
196 	 279 	 1982 	 237335595 
